,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
Kp_fbp_3,-0.0036847879109781854,-0.003691610649491168,-0.002782394245546079,-0.003721409760636621,-0.004797436465590452,0.21242828121062868,0.2109868228280263,-0.2119847736238762,-0.9999998508860166,-0.9999999437218755,1.0,0.9999999950025009,-0.9999817471051813,-0.035773138372302234,0.03906349305515879,0.03906350268267665,-0.03570802520208207,0.16268418353588404,0.11963110892451839,0.13367004012610584,-0.14712268577281287,-0.07743466103481206,-0.07743466103713716,-0.07743466107165133,-0.0985127571739054,-0.0985127572055359,0.06916856465187819,0.06918434529833684,0.06919446637333736,0.1452602593810421,0.14525908848035546,-0.021509112915587804,-0.016697931047198897,0.018793543659108305,0.03645511916497787,0.03666082395693538,-0.018927572865051184
Kp_adp_3,-0.0037896793611946256,-0.003796497964274163,-0.0028867473391244727,-0.0038263213112434955,-0.004910014370592219,0.2124273492943858,0.21098589931925243,-0.21198384273615575,-0.9999999039261886,-0.9999999941926111,0.9999999950025009,1.0,-0.9999817967899626,-0.03578052399850064,0.039072347860047575,0.03907235765301965,-0.035715384351066595,0.16271268369035902,0.11966026634558107,0.13369907987398788,-0.14715080351099113,-0.07746383346296781,-0.07746383346541667,-0.07746383350055745,-0.09854142998068813,-0.09854143001240467,0.06917614843057493,0.06919191536750724,0.06920206482622898,0.14526550342891908,0.14526431788357325,-0.021531067578286885,-0.016712434276002157,0.018823710503477302,0.036513910945338,0.03671946394080562,-0.018987980597919406
kcat_f_3,0.003958643105108224,0.003965968488254809,0.0030333771893925054,0.003993884424980113,0.0050692051585595095,-0.21107582053182788,-0.20970154331926588,0.21065529046752635,0.9999819026795023,0.9999819296470345,-0.9999817471051813,-0.9999817967899626,1.0,0.03777692477487198,-0.041066353390830215,-0.041066363292599994,0.03771186186799128,-0.16322719831246826,-0.12010371128718135,-0.1341663133479885,0.14793319965198665,0.07795536787170496,0.07795536787411361,0.07795536790972445,0.09906043030713395,0.09906043034015552,-0.07078273481641234,-0.07079851658116246,-0.0708087905281999,-0.14608116383426686,-0.1460799976555479,0.021867807241127517,0.017007133053772105,-0.018938311575298163,-0.03698446672036896,-0.037191103889542186,0.019329183469069016
Ks_fbp_4,-0.02139653073395025,-0.02142440141158692,-0.01987599490461458,-0.021339181888140983,-0.019887848868481155,-0.0037233194769160562,-0.003642421355202279,0.003695493319220264,0.03584090967103058,0.035840874752715454,-0.035773138372302234,-0.03578052399850064,0.03777692477487198,1.0,-0.999663765824742,-0.9996637635842305,0.9999993330618073,-0.31851442093115356,-0.28274249447535077,-0.29476796682653816,0.4356694995182259,0.37347771883146086,0.3734777188272057,0.37347771876151253,0.3626215046695108,0.36262150459790277,-0.9818521189773126,-0.9818525189445477,-0.981850691492725,-0.46221466947796686,-0.46221267400943844,-0.01367777220280205,-0.009704452625325622,0.015330667369983935,0.02760609891112338,0.027547919949749356,-0.027487138251423
Kp_g3p_4,0.016171890879186475,0.016198998029297723,0.014721232248935519,0.016115812963728274,0.014931888475173453,0.0037487270925544384,0.0036707863634416913,-0.0037217003378281384,-0.039142057904038935,-0.03914032104434936,0.03906349305515879,0.039072347860047575,-0.041066353390830215,-0.999663765824742,1.0,0.9999999999999877,-0.9996394597735987,0.3424996393807367,0.30713878622116064,0.3190825185922086,-0.4583417547534312,-0.3966935403386356,-0.39669354033359705,-0.39669354028129566,-0.3861417822121681,-0.386141782174028,0.9811358019232412,0.9811339201921783,0.9811370149233323,0.4627366634200119,0.462734966818097,0.011995211981061817,0.008392895898312665,-0.014062507313086586,-0.024277606784775342,-0.024231896362304856,0.02382711858268012
Kp_dhap_4,0.01617081791977764,0.01619792513261269,0.014720163952777868,0.01611473974446046,0.01493094732185551,0.0037487266347908674,0.0036707858947036083,-0.0037216998548386497,-0.03914206786472684,-0.03914033062870238,0.03906350268267665,0.03907235765301965,-0.041066363292599994,-0.9996637635842305,0.9999999999999877,1.0,-0.9996394575344192,0.3424996353190427,0.3071387835568214,0.3190825158346263,-0.45834175025249846,-0.3966935395441936,-0.3966935395391544,-0.3966935394868542,-0.38614177537489064,-0.38614177533675864,0.9811358047435617,0.9811339226538839,0.9811370181101942,0.46273667729110574,0.46273498087610354,0.01199499514366726,0.008392755012696403,-0.014062197142724981,-0.024277014252554567,-0.02423130529800656,0.023826513571715807
kcat_f_4,-0.021390780393259617,-0.02141864688777045,-0.01987042999401263,-0.021333447014261594,-0.019886554130217962,-0.0037162963165940353,-0.0036351539048981654,0.0036883880522102777,0.0357754750039762,0.035775448926269195,-0.03570802520208207,-0.035715384351066595,0.03771186186799128,0.9999993330618073,-0.9996394597735987,-0.9996394575344192,1.0,-0.3176536790772029,-0.2818495084934606,-0.29388355201696037,0.4348541383050449,0.37261571339542243,0.37261571339116684,0.3726157133254562,0.3617543786128679,0.3617543785412245,-0.9818717194425016,-0.9818721475031218,-0.9818702534065125,-0.46219820691740343,-0.4621962196058473,-0.01368808534719491,-0.00971814396869666,0.015308429496276695,0.02759007876331719,0.027531765476072112,-0.0274816457509404
kcat_f_5,0.014157681522522468,0.014176043131428999,0.013364292977384284,0.014098265039971136,0.009243893006138183,0.0026825201232693182,0.002780133181143287,-0.002712152466299243,-0.1630285502223023,-0.16301993469935577,0.16268418353588404,0.16271268369035902,-0.16322719831246826,-0.31851442093115356,0.3424996393807367,0.3424996353190427,-0.3176536790772029,1.0,0.9909585795471054,0.9958105291007286,-0.9870257710235097,-0.9665958292117953,-0.9665958292076142,-0.9665958291934839,-0.9807890125275623,-0.9807890125393179,0.30170920397567524,0.3016816723815694,0.301747599233669,0.17116306712028856,0.17115435982092603,-0.007384815357493628,-0.01145638952481073,-0.025072272884699848,-0.024401100528986943,-0.024472111825190213,0.016598841155100113
Ks_dhap_5,0.0124045493917459,0.012419225744612516,0.01173630904008139,0.012359522083738868,0.007415248197670104,0.0020210373895727437,0.0021059747375466163,-0.002046001107387516,-0.11998055185746516,-0.11997152377737264,0.11963110892451839,0.11966026634558107,-0.12010371128718135,-0.28274249447535077,0.30713878622116064,0.3071387835568214,-0.2818495084934606,0.9909585795471054,1.0,0.9990753244679016,-0.9775882121138713,-0.9862744050453851,-0.9862744050434069,-0.9862744050393216,-0.9935996423005025,-0.9935996423171151,0.26113827192491157,0.2611098566015939,0.2611778743248029,0.15182913554748845,0.15182023412856938,-0.007934425634822388,-0.012253424318740998,-0.026355012490866577,-0.02370029221601172,-0.02380099663348062,0.014185098157686848
Kp_g3p_5,0.012669016948136314,0.012684836853708008,0.011964464212698677,0.012619429662959293,0.007689419822341807,0.0022371624299853954,0.0023263274855439553,-0.002263665388858251,-0.1340186876048749,-0.1340097334816041,0.13367004012610584,0.13369907987398788,-0.1341663133479885,-0.29476796682653816,0.3190825185922086,0.3190825158346263,-0.29388355201696037,0.9958105291007286,0.9990753244679016,1.0,-0.9825402434649266,-0.9819144304934477,-0.981914430490967,-0.9819144304851237,-0.9914530739972987,-0.9914530740133498,0.27466172033154357,0.27463347165406055,0.2747010779063017,0.15833270297254254,0.15832383272469097,-0.007860619961089003,-0.012079080273026973,-0.025873296174743425,-0.023733538946098507,-0.02382537443333734,0.014752526290914874
