param,value,obj_value,obj_A,obj_B,obj_alt,regime,is_anchor,converged,theta_v_max_1,theta_Ka2_1,theta_Ka3_1,theta_Ks_g6p_pgi,theta_kcat_f_2,theta_kcat_f_3,theta_Ks_fbp_4,theta_kcat_f_4,theta_kcat_f_5,theta_kcat_f_6,theta_kcat_f_7,theta_kcat_f_8,theta_Ks_3pg_8,theta_kcat_f_9,theta_Ks_2pg_9,theta_K_g6p_1
K_g6p_1,17.753296038615908,114.6203917033608,139.3338251661042,114.6203917033608,139.3338251661042,B,False,True,64.36317653241721,0.0015926313491411452,9.885274006391938,3.025424289709128,576.2912714252122,572.2788198382445,10.768704105690963,458.5647227559041,5084.621796952034,444.801732285633,936.8292900155081,742.629918418856,0.2149517997565396,500.23898309907054,1.9861733246168554,
K_g6p_1,18.472655394465487,114.47052568630755,141.67735208883252,114.47052568630755,141.67735208883252,B,False,True,62.25834552242162,0.10444835169563929,9.317260856069247,3.26109238039521,596.9837012807402,698.4179125903544,10.742226902906058,459.72453789799687,4955.203588109528,471.65894374526874,978.6887810901893,578.776402721886,0.38107465916611166,496.5564459120409,2.879354639328854,
K_g6p_1,19.22116302124588,127.91375068637196,129.67008488208975,127.91375068637196,129.67008488208975,B,False,True,72.22985448178571,0.04093047691848206,5.9001964079407125,7.195462408724846,574.7497997374417,614.4622022943984,10.730513926274583,453.67700674837954,5030.586705050758,333.4602226435474,496.6299276110437,684.8700634338567,2.518497411362855,563.0225409402659,7.703613941319799,
K_g6p_1,20.000000000000004,117.63525520492512,121.57319688533363,117.63525520492512,121.57319688533363,B,False,True,72.30798266324436,0.013069222422067315,4.912353065224354,5.3142750373531245,574.7721565417455,614.5364095626985,10.607751513517952,453.6796668351518,5030.586734320232,333.43937371821994,496.63350835371114,684.8738386489149,1.3047613511633542,563.0571465195245,4.545646929125266,
Ka2_1,0.0659766745775291,86.62441926195037,86.62441926195037,134.61214105278748,134.61214105278748,A,True,True,75.08833391580916,,7.803668946809365,6.61814487264925,502.04360707915174,745.1189560425585,0.0031296078497730366,3.667628645504096,2537.6521708892665,353.84133029088207,979.5590346739867,746.4666587404795,2.3080736850724173,245.48783369374897,0.12202661117338799,10.948527240161772
Ka2_1,0.06300723507188927,85.33181428328935,85.33181428328935,135.8272842163866,135.8272842163866,A,False,True,80.25032898219325,,6.516821988974013,5.874742123536769,504.83440411730453,752.9034575913661,0.003135082869249063,3.6701328977166674,1988.8182611166467,368.2385006184866,983.8062647337853,692.4558045057686,2.7152535930786574,237.363205094479,0.002248768898734138,11.23471652856527
Ka2_1,0.06017144235936404,102.93539372832817,102.93539372832817,118.03703737113605,118.03703737113605,B,False,True,55.47729161924052,,10.303277986208355,9.103391482874933,483.2720382492945,482.9054912228489,0.0030785111214899205,3.666722658677422,955.0989170913724,545.2692292356472,961.9663821522494,190.52450143644944,0.0017773600421409422,463.7937816799479,0.001478346769676419,10.047150136500248
Ka2_1,0.057463281343408834,84.49066022456725,84.49066022456725,120.3900638463344,120.3900638463344,A,False,True,78.936994995409,,6.865354632208209,5.254076234296526,519.2266826291844,733.4288112727891,0.003129107877812734,3.667288266708946,2472.214406791604,396.9902132000964,983.5739689926304,692.9002340919053,2.5962486333278854,242.0904743678689,0.0022367227777369512,11.202910873495401
Ka2_1,0.054877007651419334,116.90587985512283,141.8632139288473,116.90587985512283,141.8632139288473,B,False,True,64.1328686650513,,7.281384823811138,8.124983769157646,532.4026240960479,698.7341983177322,8.159259271110038,294.34252902189917,7391.088314997925,625.2411663971825,955.2495367149584,687.8142256121964,2.3139848453899265,518.6325149243299,0.44667613401959133,10.149807224375104
Ka2_1,0.05240713545014707,108.48557563284416,108.48557563284416,127.56630266923213,127.56630266923213,B,False,True,55.25962513599617,,8.485632593574405,2.969577988571454,550.394092738228,588.7300015051275,0.26492176854940674,14.422081820784635,4939.162566132864,119.93656439454324,871.3823722867086,211.20832330551775,0.0028846713426220936,132.7562315984233,0.001289829071044205,10.021499796685678
Ka2_1,0.050048425809511625,129.22559203925752,129.22559203925752,132.88047529220214,132.88047529220214,B,False,True,52.28540312450832,,8.83635718785742,6.469695983887596,571.4536624808678,594.4933082235364,10.636466574362299,453.66786203898636,5033.868703007901,503.9422049550593,510.32218505413766,686.8113896029017,2.1096421561352905,532.2043125346047,6.451914521104069,10.034236124780728
Ka2_1,0.04779587559012751,130.74842984361942,131.7372885758144,130.74842984361942,131.7372885758144,B,False,True,57.05279776130586,,6.56321574572245,6.598356515269085,561.174773487163,590.3602067089629,10.764580716436715,445.5017484949107,4908.023464424708,496.1356529733926,451.33862098490295,657.3076040855682,2.206295685212649,504.38003947246494,6.89583621322494,10.03719233806448
Ka2_1,0.04564470683097469,118.37814561523146,118.37814561523146,129.52128269344882,129.52128269344882,B,False,True,54.81390823309726,,10.628965021037851,8.463686707280905,554.3150842016911,551.5566304611983,0.12565446345616554,8.624265964334484,4979.59293463956,592.34720172029,900.0708344998975,662.6976364966038,3.4562772622136158,427.69638995848214,0.39106734127597187,10.02836605591195
Ka2_1,0.04359035661470282,83.89834863336257,83.89834863336257,123.1261981206982,123.1261981206982,A,False,True,75.41418326049701,,8.032102673376833,4.260237193788371,522.1890009930539,694.1834496040267,0.003136309576686051,3.6707126496761515,3229.24442136439,430.63833339108675,981.9730542450859,616.4994346526768,2.2386312723755815,263.5906181424249,0.0019749497839931553,11.041085212459324
Ka2_1,0.04162846738907165,120.33559366455626,126.44168299330316,120.33559366455626,126.44168299330316,B,False,True,51.81460639915483,,7.853712158007825,4.876359351010649,569.2359457987743,615.0432409466514,10.56042570000447,456.27588606276447,5082.771147063319,332.003086380489,477.8936259040313,658.5230044318035,1.7402614702271249,485.0843832618924,4.033185675590113,10.036324032695283
Ka2_1,0.03975487772399855,128.17419715564182,128.17419715564182,132.35786163630746,132.35786163630746,B,False,True,52.13294195153443,,8.786129128851963,6.310190713115682,571.4910482465806,594.6529156017649,10.627902136520103,453.3780016319053,5033.902640866071,504.09161403316097,510.347990175311,686.7630516266104,2.055109469962631,532.3316046786103,6.184678888904021,10.034547225714455
Ka2_1,0.03796561348460735,86.70512922240519,86.70512922240519,123.46457035883462,123.46457035883462,A,False,True,58.95185945748543,,10.081701356429098,3.2223251690541748,534.6841048154797,554.5743412159131,0.0030956470638204814,3.666803796020877,4511.836372786147,517.8739724307517,968.5346057694985,712.4792066066411,2.3611299628183464,379.79008900526196,0.0016356567530232625,10.26422789730699
Ka2_1,0.036256879401555475,123.61932202990192,123.61932202990192,128.6843872369355,128.6843872369355,B,False,True,48.73636952322849,,10.279211489813468,8.04503312665344,554.4099636340202,559.4540804137563,0.2271180053998394,13.057978911354006,5032.825890927649,503.9279090511544,734.0101852966889,672.4771243221728,3.3790819662364586,448.6289789353218,1.7346362056749556,10.01826749551468
Ka2_1,0.034625051020758794,135.6780931764741,135.6780931764741,139.84051345290922,139.84051345290922,B,False,True,50.248028171830384,,10.007452494185506,8.253744793371963,567.3715448014195,583.2692072390789,5.160724315937601,142.86250632419728,5032.545688456296,517.3802843903875,514.2924468512987,680.1519107900016,3.312188248041782,484.1787097266837,3.5664660734390683,10.018455172908647
